Date,Startup,type,SubVertical,city,Investors Name,investment type,Amount cr
,INDWEALTH,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,210.0
,HUNGERBOX,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,92.26
,ADMITKARD,EdTech,University Admissions,Noida,Growth DNA,Seed Round,14.0
,MISHRY REVIEWS,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0
,GROFERS,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,980.0
,RAPIDO BIKE TAXI,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,54600.0
2019-02-07,RENEWBUY,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,266.0
2019-02-07,ATLAN,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,35.0
2019-01-07,WIZCOUNSEL,Compliance,Consulting,New Delhi,Kapil Dev,Angel,2.03
2019-03-07,OLA CABS,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,14.0
2019-01-07,UNIPHORE,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,533.12
2019-04-07,DAALCHINI TECHNOLOGIES,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,7.0
2019-10-07,BYJUS,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,2100.0
2019-11-07,MOGLIX,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,840.0
2019-10-07,EZYHAUL,Tech,Logistics,Singapore,Undisclosed,Series B,224.0
2019-10-07,INDUS OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,80.5
2019-10-07,HEALTHASSURE,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,35.0
2019-09-07,HOUSE OF MSASABA,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,14.0
2019-08-07,BOARD INFINITY,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,4.47447
2019-05-06,NOBROKER,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,714.0
2019-04-06,BIRA91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,140.0
2019-03-06,FABHOTELS,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,68.45965756
2019-03-06,AVAIL FINANCE,Finance,FinTech,Bengaluru,Matrix Partners,Series A,126.0
2019-04-06,BHARATPE,Finance,FinTech,New Delhi,Insight Partners,Series B,1050.0
2019-04-06,RECYKAL,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,364.0
2019-03-06,AGARA LABS,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,35.0
2019-06-06,SISTEMA.BIO,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,38.34648552
2019-06-06,CHAKR INNOVATION,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,364.0
2019-06-06,PRATILIPI,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,211.533
2019-10-06,BOLO APP,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,6.0228
2019-10-06,OKCREDIT,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,217.0
2019-06-06,BIZ2CREDIT,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,728.0
2019-08-06,VOGO AUTOMOTIVE PVT. LTD.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,50.176
2019-04-06,LEEGALITY,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,47.6
2019-06-05,OLA ELECTRIC,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0
2019-06-05,SAAHAS ZERO WASTE,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,12.1604
2019-05-05,STYLEDOTME,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
2019-01-05,BLACKBUCK,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,2100.0
2019-02-05,ZENOTI,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,700.0
,ATHER ENERGY,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,714.0
,FRESHVNF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1960.0
,GLOWROAD,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,161.0
,BIRA91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,78.4
,KUVERA,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,630.0
2019-12-04,MEDLIFE,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,238.0
2019-10-04,KABADIWALA,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,6.02931
,TRIPOTO,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,50.27925
2019-12-04,AZAH,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,2.8
2019-11-04,SETU,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,49.0
2019-10-04,TOPPR,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,88.49148
2019-10-04,CRAFTSVILLA,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,34.20893
2019-10-04,UNACADEMY,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,4.298
2019-11-04,CLEVERTAP,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,364.0
,MY HEALTHCARE,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,42.0
,KRAZYBEE,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,0.0
,SHUTTL,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,70.0
,INCREFF,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,42.0
2019-01-02,FLEETX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
2019-08-02,ZILINGO,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,3164.0
,NANOCLEAN GLOBAL,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,8.4
,OYOROOMS,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,1400.0
2019-03-01,CARDEKHO,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,1540.0
2019-04-01,VYOME THERAPEUTICS INC.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,308.0
2019-04-01,SAMUNNATI FINANCIAL INTERMEDIATION & SERVICES PVT. LTD,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,70.0
2018-04-12,MANCH,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,9.8
2018-01-12,URBANCLAP TECHNOLOGIES PVT. LTD,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,700.0
2018-02-12,GUIDDOO,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,11.2
2018-02-12,CAREER ANNA,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,8.008
2018-04-12,NAGPUR WHOLESALE,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,2.002
2018-06-12,SHOPKIRANA,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,28.0
2018-06-12,BUILDSUPPLY,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,49.0
2018-01-11,GODESI,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.94593
2018-03-11,VERITAS FINANCE LTD.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,389.186
2018-06-11,MEESHO,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,700.0
2018-08-11,MOBILE PREMIER LEAGUE,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,7.0
2018-08-11,A&R BON VIVANTS,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,14.0
2018-12-11,BLACKBUCK,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,14.0
2018-12-11,MILKBASKET,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,18.2
,DRIVEU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,14.0
,CLEANSECAR,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,7.0
,AUTOMATION ANYWHERE,Automation,Robotics,California,SoftBank Vision Fund,Series B,4200.0
,HEALTHIFYME,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),84.0
,GENIUS CORNER,Education,Personalized Learning,Noida,Individual investors,Seed Funding,3.892
,AAVISHKAAR-INTELLECAP GROUP,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,434.0
,SKILLBOX,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0
,SIGNZY,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,47.6
,ENGINEER.AI,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,413.0
,INCRED FINANCE,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,588.0
,ROPOSO,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,23.8
2018-01-10,NORTHMIST,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0
2018-02-10,ORIGO COMMODITIES INDIA PVT. LTD,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,154.0
2018-04-10,GROVER ZAMPA,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,114.8
2018-05-10,DROOM,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,42.0
2018-11-10,INNOV8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,56.0
2018-12-10,BLACKBUCK,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,205.52
2018-12-10,LETSTRANSPORT,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,168.0
2018-01-09,NETMEDS,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,490.0
2018-03-09,UDAAN,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,3150.0
2018-03-09,DAILY HUNT,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,89.46
2018-04-09,HAPPYGOEASY,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0
2018-05-09,NYKAA,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,2200.8
2018-05-09,MAD STREET DEN,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0
2018-06-09,DREAM11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,1400.0
2018-10-09,MAMAEARTH,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,56.0
2018-11-09,AUTOGRID,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,448.0
2018-11-09,PHARMEASY,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,77.0
2018-11-09,UPWARDS,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,70.0
2018-12-09,KISSHT,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,420.0
2018-01-08,DISHQ,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,5.6
2018-01-08,HEALTHFIN,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0
2018-02-08,SAMOSA LABS,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,98.0
2018-03-08,ZIFFYHOMES,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,1.68
2018-07-08,SHOPX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,490.0
2018-07-08,MAKEMYTRIP,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,140.0
